2025-11-07 20:25:00 - attacks - WARNING - Attack detected - Type: path_traversal, IP: 192.168.1.23, Details: {'endpoint': '/api/files?file=../../../../windows/win.ini', 'method': 'GET', 'payload_size': 27}
2025-11-07 20:25:00 - attacks - WARNING - Attack detected - Type: path_traversal, IP: 192.168.1.23, Details: {'endpoint': '/download?file=../../../etc/passwd', 'method': 'GET', 'payload_size': 19}
2025-11-07 20:25:00 - attacks - WARNING - Attack detected - Type: path_traversal, IP: 192.168.1.23, Details: {'endpoint': '/read?file=....//....//windows/system32/config/sam', 'method': 'GET', 'payload_size': 39}
2025-11-07 20:25:00 - attacks - WARNING - Attack detected - Type: path_traversal, IP: 192.168.1.23, Details: {'endpoint': '/file?file=%2e%2e%2f%2e%2e%2f%2e%2e%2fetc%2fpasswd', 'method': 'GET', 'payload_size': 39}
2025-11-07 20:25:00 - attacks - WARNING - Attack detected - Type: command_injection, IP: 192.168.1.21, Details: {'endpoint': '/admin/command', 'method': 'POST', 'payload_size': 8}
2025-11-07 20:25:00 - attacks - WARNING - Attack detected - Type: command_injection, IP: 192.168.1.21, Details: {'endpoint': '/admin/command', 'method': 'POST', 'payload_size': 4}
2025-11-07 20:55:03 - attacks - WARNING - Attack detected - Type: suspicious, IP: 192.168.1.26, Details: {'endpoint': '/api/data', 'method': 'GET', 'payload_size': 1060}
2025-11-07 20:55:03 - attacks - WARNING - Attack detected - Type: brute_force, IP: 192.168.1.44, Details: {'endpoint': '/login', 'method': 'POST', 'payload_size': 11}
2025-11-07 20:55:03 - attacks - WARNING - Attack detected - Type: brute_force, IP: 192.168.1.44, Details: {'endpoint': '/login', 'method': 'POST', 'payload_size': 14}
2025-11-07 20:55:03 - attacks - WARNING - Attack detected - Type: brute_force, IP: 192.168.1.44, Details: {'endpoint': '/login', 'method': 'POST', 'payload_size': 11}
2025-11-07 20:55:03 - attacks - WARNING - Attack detected - Type: brute_force, IP: 192.168.1.44, Details: {'endpoint': '/login', 'method': 'POST', 'payload_size': 11}
2025-11-07 20:55:03 - attacks - WARNING - Attack detected - Type: brute_force, IP: 192.168.1.44, Details: {'endpoint': '/login', 'method': 'POST', 'payload_size': 11}
2025-11-07 20:55:03 - attacks - WARNING - Attack detected - Type: brute_force, IP: 192.168.1.44, Details: {'endpoint': '/login', 'method': 'POST', 'payload_size': 10}
2025-11-07 20:55:03 - attacks - WARNING - Attack detected - Type: suspicious, IP: 192.168.1.34, Details: {'endpoint': '/profile', 'method': 'POST', 'payload_size': 1020}
2025-11-07 20:55:03 - attacks - WARNING - Attack detected - Type: suspicious, IP: 192.168.1.49, Details: {'endpoint': '/search', 'method': 'DELETE', 'payload_size': 1391}
2025-11-07 20:55:03 - attacks - WARNING - Attack detected - Type: xss, IP: 192.168.1.34, Details: {'endpoint': '/login', 'method': 'POST', 'payload_size': 23}
2025-11-07 20:55:03 - attacks - WARNING - Attack detected - Type: command_injection, IP: 192.168.1.28, Details: {'endpoint': '/api/system', 'method': 'POST', 'payload_size': 15}
2025-11-07 20:55:03 - attacks - WARNING - Attack detected - Type: command_injection, IP: 192.168.1.28, Details: {'endpoint': '/api/execute', 'method': 'POST', 'payload_size': 15}
2025-11-07 20:55:03 - attacks - WARNING - Attack detected - Type: path_traversal, IP: 192.168.1.22, Details: {'endpoint': '/file?file=..\\..\\..\\windows\\system32\\config\\sam', 'method': 'GET', 'payload_size': 36}
2025-11-07 20:55:03 - attacks - WARNING - Attack detected - Type: path_traversal, IP: 192.168.1.36, Details: {'endpoint': '/read?file=../../../etc/passwd', 'method': 'GET', 'payload_size': 19}
2025-11-07 20:55:03 - attacks - WARNING - Attack detected - Type: path_traversal, IP: 192.168.1.36, Details: {'endpoint': '/api/document?file=....//....//windows/system32/config/sam', 'method': 'GET', 'payload_size': 39}
2025-11-07 20:55:03 - attacks - WARNING - Attack detected - Type: xss, IP: 192.168.1.29, Details: {'endpoint': '/api/data', 'method': 'POST', 'payload_size': 23}
2025-11-07 20:55:03 - attacks - WARNING - Attack detected - Type: ddos, IP: 192.168.1.8, Details: {'endpoint': '/profile', 'method': 'GET', 'payload_size': 205}
2025-11-07 20:55:19 - attacks - WARNING - Attack detected - Type: command_injection, IP: 192.168.1.35, Details: {'endpoint': '/admin/command', 'method': 'POST', 'payload_size': 8}
2025-11-07 20:55:19 - attacks - WARNING - Attack detected - Type: command_injection, IP: 192.168.1.35, Details: {'endpoint': '/api/system', 'method': 'POST', 'payload_size': 8}
2025-11-07 20:55:19 - attacks - WARNING - Attack detected - Type: path_traversal, IP: 192.168.1.34, Details: {'endpoint': '/download?file=....//....//etc/passwd', 'method': 'GET', 'payload_size': 22}
2025-11-07 20:55:19 - attacks - WARNING - Attack detected - Type: path_traversal, IP: 192.168.1.34, Details: {'endpoint': '/api/files?file=..%2F..%2F..%2Fetc%2Fpasswd', 'method': 'GET', 'payload_size': 27}
2025-11-07 20:55:19 - attacks - WARNING - Attack detected - Type: ddos, IP: 192.168.1.17, Details: {'endpoint': '/admin', 'method': 'GET', 'payload_size': 167}
2025-11-07 20:55:19 - attacks - WARNING - Attack detected - Type: ddos, IP: 192.168.1.18, Details: {'endpoint': '/dashboard', 'method': 'GET', 'payload_size': 363}
2025-11-07 20:55:19 - attacks - WARNING - Attack detected - Type: ddos, IP: 192.168.1.31, Details: {'endpoint': '/', 'method': 'GET', 'payload_size': 127}
2025-11-07 20:55:19 - attacks - WARNING - Attack detected - Type: ddos, IP: 192.168.1.36, Details: {'endpoint': '/api/data', 'method': 'GET', 'payload_size': 114}
2025-11-07 20:55:19 - attacks - WARNING - Attack detected - Type: ddos, IP: 192.168.1.49, Details: {'endpoint': '/profile', 'method': 'GET', 'payload_size': 376}
2025-11-07 20:55:19 - attacks - WARNING - Attack detected - Type: ddos, IP: 192.168.1.24, Details: {'endpoint': '/', 'method': 'GET', 'payload_size': 435}
2025-11-07 20:55:19 - attacks - WARNING - Attack detected - Type: port_scanning, IP: 192.168.1.32, Details: {'endpoint': '/', 'method': 'GET', 'payload_size': 140}
2025-11-07 20:55:19 - attacks - WARNING - Attack detected - Type: port_scanning, IP: 192.168.1.32, Details: {'endpoint': '/', 'method': 'GET', 'payload_size': 79}
2025-11-07 20:55:26 - attacks - WARNING - Attack detected - Type: brute_force, IP: 192.168.1.20, Details: {'endpoint': '/login', 'method': 'POST', 'payload_size': 11}
2025-11-07 20:56:06 - attacks - WARNING - Attack detected - Type: brute_force, IP: 192.168.1.10, Details: {'endpoint': '/login', 'method': 'POST', 'payload_size': 12}
2025-11-07 20:56:06 - attacks - WARNING - Attack detected - Type: brute_force, IP: 192.168.1.10, Details: {'endpoint': '/login', 'method': 'POST', 'payload_size': 10}
2025-11-07 20:56:06 - attacks - WARNING - Attack detected - Type: brute_force, IP: 192.168.1.10, Details: {'endpoint': '/login', 'method': 'POST', 'payload_size': 11}
2025-11-07 20:56:06 - attacks - WARNING - Attack detected - Type: suspicious, IP: 192.168.1.20, Details: {'endpoint': '/dashboard', 'method': 'DELETE', 'payload_size': 1554}
2025-11-07 20:56:06 - attacks - WARNING - Attack detected - Type: brute_force, IP: 192.168.1.26, Details: {'endpoint': '/login', 'method': 'POST', 'payload_size': 11}
2025-11-07 20:56:06 - attacks - WARNING - Attack detected - Type: command_injection, IP: 192.168.1.37, Details: {'endpoint': '/api/system', 'method': 'POST', 'payload_size': 17}
2025-11-07 20:56:06 - attacks - WARNING - Attack detected - Type: sql_injection, IP: 192.168.1.50, Details: {'endpoint': '/search', 'method': 'POST', 'payload_size': 10}
2025-11-07 20:56:06 - attacks - WARNING - Attack detected - Type: sql_injection, IP: 192.168.1.50, Details: {'endpoint': '/api/users', 'method': 'POST', 'payload_size': 8}
2025-11-07 20:56:06 - attacks - WARNING - Attack detected - Type: sql_injection, IP: 192.168.1.50, Details: {'endpoint': '/api/users', 'method': 'POST', 'payload_size': 22}
2025-11-07 20:56:06 - attacks - WARNING - Attack detected - Type: suspicious, IP: 192.168.1.28, Details: {'endpoint': '/login', 'method': 'PUT', 'payload_size': 249}
2025-11-07 20:57:49 - attacks - WARNING - Attack detected - Type: brute_force, IP: 192.168.1.33, Details: {'endpoint': '/login', 'method': 'POST', 'payload_size': 13}
2025-11-07 20:57:49 - attacks - WARNING - Attack detected - Type: brute_force, IP: 192.168.1.33, Details: {'endpoint': '/login', 'method': 'POST', 'payload_size': 11}
2025-11-07 20:57:49 - attacks - WARNING - Attack detected - Type: brute_force, IP: 192.168.1.33, Details: {'endpoint': '/login', 'method': 'POST', 'payload_size': 11}
2025-11-07 20:57:49 - attacks - WARNING - Attack detected - Type: xss, IP: 192.168.1.45, Details: {'endpoint': '/api/data', 'method': 'POST', 'payload_size': 32}
2025-11-07 20:57:49 - attacks - WARNING - Attack detected - Type: suspicious, IP: 192.168.1.24, Details: {'endpoint': '/dashboard', 'method': 'POST', 'payload_size': 637}
2025-11-07 20:57:49 - attacks - WARNING - Attack detected - Type: suspicious, IP: 192.168.1.1, Details: {'endpoint': '/api/data', 'method': 'DELETE', 'payload_size': 918}
2025-11-07 20:57:49 - attacks - WARNING - Attack detected - Type: suspicious, IP: 192.168.1.39, Details: {'endpoint': '/', 'method': 'PUT', 'payload_size': 1919}
2025-11-07 20:58:00 - attacks - WARNING - Attack detected - Type: brute_force, IP: 192.168.1.33, Details: {'endpoint': '/login', 'method': 'POST', 'payload_size': 11}
2025-11-07 20:58:00 - attacks - WARNING - Attack detected - Type: port_scanning, IP: 192.168.1.15, Details: {'endpoint': '/', 'method': 'GET', 'payload_size': 127}
2025-11-07 20:58:00 - attacks - WARNING - Attack detected - Type: port_scanning, IP: 192.168.1.15, Details: {'endpoint': '/', 'method': 'GET', 'payload_size': 153}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: xss, IP: 192.168.1.48, Details: {'endpoint': '/search', 'method': 'POST', 'payload_size': 32}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: suspicious, IP: 192.168.1.36, Details: {'endpoint': '/api/users', 'method': 'PUT', 'payload_size': 1759}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: suspicious, IP: 192.168.1.9, Details: {'endpoint': '/dashboard', 'method': 'PUT', 'payload_size': 1679}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: xss, IP: 192.168.1.49, Details: {'endpoint': '/api/users', 'method': 'POST', 'payload_size': 32}
