[2025-11-07T20:25:00.567777] LOG - IP: 192.168.1.23, Request: {'endpoint': '/read?file=..%2F..%2F..%2Fetc%2Fpasswd', 'method': 'GET', 'payload_type': 'path_traversal', 'payload_size': 27, 'is_attack': True}
[2025-11-07T20:25:00.569799] LOG - IP: 192.168.1.23, Request: {'endpoint': '/download?file=..%2F..%2F..%2Fetc%2Fpasswd', 'method': 'GET', 'payload_type': 'path_traversal', 'payload_size': 27, 'is_attack': True}
[2025-11-07T20:55:03.622974] LOG - IP: 192.168.1.49, Request: {'endpoint': '/', 'method': 'POST', 'payload_type': 'normal', 'payload_size': 1021, 'is_attack': False}
[2025-11-07T20:55:03.623404] LOG - IP: 192.168.1.5, Request: {'endpoint': '/download?file=%2e%2e%2f%2e%2e%2f%2e%2e%2fetc%2fpasswd', 'method': 'GET', 'payload_type': 'path_traversal', 'payload_size': 39, 'is_attack': True}
[2025-11-07T20:55:03.624302] LOG - IP: 192.168.1.13, Request: {'endpoint': '/dashboard', 'method': 'POST', 'payload_type': 'normal', 'payload_size': 200, 'is_attack': False}
[2025-11-07T20:55:03.626656] LOG - IP: 192.168.1.44, Request: {'endpoint': '/login', 'method': 'POST', 'payload_type': 'brute_force', 'payload_size': 12, 'is_attack': True}
[2025-11-07T20:55:03.629517] LOG - IP: 192.168.1.34, Request: {'endpoint': '/api/data', 'method': 'POST', 'payload_type': 'xss', 'payload_size': 25, 'is_attack': True}
[2025-11-07T20:55:03.629822] LOG - IP: 192.168.1.34, Request: {'endpoint': '/profile', 'method': 'POST', 'payload_type': 'xss', 'payload_size': 32, 'is_attack': True}
[2025-11-07T20:55:03.630371] LOG - IP: 192.168.1.41, Request: {'endpoint': '/login', 'method': 'POST', 'payload_type': 'brute_force', 'payload_size': 10, 'is_attack': True}
[2025-11-07T20:55:03.631043] LOG - IP: 192.168.1.41, Request: {'endpoint': '/login', 'method': 'POST', 'payload_type': 'brute_force', 'payload_size': 13, 'is_attack': True}
[2025-11-07T20:55:03.631416] LOG - IP: 192.168.1.41, Request: {'endpoint': '/login', 'method': 'POST', 'payload_type': 'brute_force', 'payload_size': 11, 'is_attack': True}
[2025-11-07T20:55:03.632240] LOG - IP: 192.168.1.4, Request: {'endpoint': '/dashboard', 'method': 'PUT', 'payload_type': 'normal', 'payload_size': 163, 'is_attack': False}
[2025-11-07T20:55:03.633054] LOG - IP: 192.168.1.28, Request: {'endpoint': '/admin/command', 'method': 'POST', 'payload_type': 'command_injection', 'payload_size': 32, 'is_attack': True}
[2025-11-07T20:55:03.633389] LOG - IP: 192.168.1.28, Request: {'endpoint': '/admin/command', 'method': 'POST', 'payload_type': 'command_injection', 'payload_size': 8, 'is_attack': True}
[2025-11-07T20:55:19.535466] LOG - IP: 192.168.1.35, Request: {'endpoint': '/api/run', 'method': 'POST', 'payload_type': 'command_injection', 'payload_size': 11, 'is_attack': True}
[2025-11-07T20:55:19.536201] LOG - IP: 192.168.1.35, Request: {'endpoint': '/api/run', 'method': 'POST', 'payload_type': 'command_injection', 'payload_size': 4, 'is_attack': True}
[2025-11-07T20:55:19.537100] LOG - IP: 192.168.1.4, Request: {'endpoint': '/login', 'method': 'POST', 'payload_type': 'xss', 'payload_size': 25, 'is_attack': True}
[2025-11-07T20:55:19.539368] LOG - IP: 192.168.1.36, Request: {'endpoint': '/', 'method': 'GET', 'payload_type': 'port_scanning', 'payload_size': 124, 'is_attack': True}
